text,sentiment,username,tweet_id,predicted_sentiment
I'm indifferent to the retweets. gets the work done #Update @ivy,neutral,mona,197,neutral
Useless the interface! it's so frustrating! #App,negative,steve,101,negative
Useless the notifications! it's completely useless! #Twitter,negative,olivia,100,negative
Fantastic social media! it's so user-friendly! #Update @xena,positive,riley,64,positive
Disappointing the lists! it's unusable!,negative,xavier,78,negative
Mixed feelings about the blue checkmark. mediocre,neutral,indigo,180,negative
I don't have strong feelings about the blue checkmark. not too bad,neutral,matt,136,negative
Best the features ever! it's so intuitive!,positive,vin,4,positive
Ridiculous the lists! it's unusable! #App,negative,kate,106,negative
Annoying the likes! it's making me angry!,negative,june,104,negative
